f	stdf
1.003038767954894	0.1031947444466088
0.23445233296042081	0.10270770292100542
0.13124031766793581	0.094080824431761495
0.090713903188852502	0.084017133958876333
0.069059231541878083	0.076269496524139557
0.055545408010600719	0.070208983215555298
0.04631563115958276	0.065282011059201686
0.03958309701243725	0.061162844677458181
0.034431179662563365	0.057659600663904249
0.030370011975378496	0.054699661153183345
0.027096020710064436	0.052229449057232188
0.024397877091972484	0.049948891312957884
0.022120095975171391	0.047860378459144627
0.020196015450185938	0.046156867523487972
0.018515930169908681	0.044488078844157182
0.017059690554037322	0.043099491825920676
0.015845986821781292	0.042057988749384191
0.014736365468381005	0.040871792580259199
0.013775349347591269	0.039695933431973709
0.012904335623605651	0.03879465346535086
0.012065649230934131	0.037544254876680484
0.01128815592190428	0.03620471846413334
0.010562932896309125	0.034867969722213926
0.0098976766241858794	0.033624628730380905
0.0092853280935979183	0.032382958258737
0.0087524650196880351	0.031247335816410326
0.0082359808788190457	0.030005427761676147
0.007742834040645308	0.028783405357821475
0.0072746323078183399	0.027544313517984979
0.0068123834685195053	0.026212357913917794
0.006393899199871377	0.024783339884030222
0.0059781925434778541	0.022866072950841556
0.0056214416590893938	0.021526907379750635
0.0052905850298475129	0.020454043395056923
0.0050339618905420299	0.019739319955805541
0.0047989067457427292	0.019288369894602801
0.0046261513198961254	0.019200080053341645
0.0044099171518492816	0.018882875119941786
0.0041673871757398045	0.018328491929278119
0.0039290914669934179	0.017753709410523122
0.0036978263737788551	0.01713574815415617
0.0034701259530076291	0.016571325337236417
0.0032604206173208147	0.015959643028616004
0.0030486951527969636	0.015520303998609521
0.0028470178182373827	0.015203460592399156
0.0026444710709487475	0.014583868974743992
0.0024747945308502251	0.014194959631233123
0.0023056840207654108	0.013577187313199299
0.0021391517146391115	0.012923312238822029
0.0019753651196700445	0.012332926539716014
0.001827784330384282	0.01188596575307372
0.0016822560888485993	0.011310758694428337
0.0015383640349807574	0.010567882860716483
0.0013972847089078022	0.0097731885565430082
0.0012481543686796647	0.0088474381365019877
0.0010967032339970787	0.0078274583606537749
0.00096224003638401088	0.0069526189425754238
0.00085743655969707259	0.0063498167773302482
0.00075515494500615673	0.0057207640471501307
0.00065318659922585084	0.0051140472256545402
0.000557058424045819	0.0045736801477585442
0.00046419018968765768	0.004131823328936717
0.00040755053307910827	0.004087102920490783
0.00034343322897733414	0.0039520215384648205
0.00029182630680934873	0.0038764604446050342
0.00022948906762694312	0.0034130041493729861
0.00017696756231435452	0.0028957281740799412
0.00013448272765041364	0.002364841124398079
9.5533365785372378e-05	0.0018239700239137849
6.4602449748386932e-05	0.0013281482262483511
4.1929753922829756e-05	0.00087308312272858834
2.2360616880473098e-05	0.00044168936835296092
1.4500653895190085e-05	0.0003106550284712583
9.211177669838152e-06	0.00021431386143802355
5.6948565365891057e-06	0.0001425994698345962
