f	stdf
1.39792189045241	1.5119337053714337
0.93248124196080662	1.271603078579806
0.7207218742325433	1.1343018164411904
0.59651258245775085	1.0389595543493508
0.51306888146316798	0.96803031486587576
0.45273846185886668	0.91198266507041992
0.40680098483326288	0.86583607216472147
0.37062008980699856	0.8263104165506735
0.34129386431459874	0.79178758199511012
0.31678572251843878	0.76182949207287298
0.29591121961568068	0.73564410655140178
0.27796505097907143	0.71226728843049514
0.26230972814464892	0.69141877665465523
0.24852249793810524	0.67267817495357174
0.23623885192012173	0.6558786133010519
0.22525419067434616	0.64059959890745433
0.2153751115429571	0.62655237800400798
0.20643180052929069	0.61362904106580474
0.19831542190327497	0.60152070502056432
0.19088992936124716	0.59031236435783929
0.18405378591157784	0.57997258392184192
0.17774744804813059	0.57035190424238347
0.17189684122705284	0.56142619630398616
0.16646660831593232	0.55297868928376259
0.16139713696612923	0.54510984302563026
0.15666080547323771	0.53771478151766983
0.15222549069744928	0.53066130969959668
0.14807030731885015	0.52390326908623641
0.14415213387245193	0.51755484874434254
0.14045763036883868	0.51159244799445913
0.13697707163968931	0.505856678333926
0.13368912946163908	0.50038473128307104
0.13057736079629875	0.49514560210957731
0.12763231606630884	0.49007831197597024
0.12483513450987667	0.48521608992790116
0.12218103053792728	0.48051994275524507
0.11965984652064098	0.47589903625573082
0.11725906630371571	0.47142731502706492
0.11496420945481924	0.46715170651668808
0.11277113862276428	0.46303700504197048
0.11068304612712555	0.45898176870654256
0.10868604647025427	0.45502885425861189
0.10677798905532415	0.451179055752501
0.10496151264711046	0.44739966352071808
0.10321911571599256	0.44372531248197278
0.10154433564271975	0.44017319987791831
0.099931027297559594	0.43673171908749037
0.098375345449779161	0.43339719288618922
0.096873881407785994	0.43017634464278004
0.095423852096530967	0.42703620506560608
0.094028456517119566	0.42388679117158901
0.092679969140262705	0.42079516659546229
0.091375799674131966	0.41776818151019995
0.090114318065844509	0.41477108656952377
0.088894483005118569	0.4118204949526808
0.087712994395117205	0.40893357972325567
0.086569976731759909	0.4061278517616444
0.085460081058510662	0.40340094512589286
0.084383573581768873	0.40071600545177788
0.083337042679795845	0.39810414647078979
0.082320701118278633	0.39554839586137813
0.081333703138202137	0.39304134188620837
0.080374784518861958	0.39058193339007036
0.07944089171258796	0.38818443603125707
0.078532106500453669	0.3858480201243174
0.077646623010817886	0.38357349604691432
0.076783266447137274	0.38135882889499029
0.075943205847251394	0.3791969334224497
0.075125097669753213	0.37707113108618157
0.074327029827219296	0.37499149824100575
0.073548857549932622	0.3729540862299584
0.072789541790083942	0.37095510321970138
0.072050348983768275	0.36898639244850395
0.071330893192310882	0.36706317431779623
0.070627950812437737	0.36518515980065636
0.069940561263161213	0.36334036804179703
0.069268282824607563	0.36148818524015941
0.068610750880143095	0.3596424306126596
0.06796714629663686	0.35783803755199162
0.067337516203912456	0.35606498065897091
0.066720780962589515	0.35432709622061315
0.066116881213078904	0.35260796569118052
0.065525833720319476	0.3509296724497592
0.06494628829289692	0.34928830936144162
0.06437820312069803	0.34768172982413348
0.063823943282621406	0.3461004082874316
