weight	lyapunov	err1	err2	err3	m1	m2	m3	std1	std2	std3	null1	null2	null3	f	stdf
0.080000000000000002	-0.029499191965668213	0.34608176250096845	0.0048802382351156434	9.6898841752452974e-33	54.021489855763363	1.903610447032656	nan	0.0	0.0	nan	99.899999999999991	99.899999999999991	100.0	nan	nan
0.10000000000000001	-0.024235609725685319	0.31232392043370216	1.8826194275010442e-30	9.6898841752452974e-33	54.538884917699136	nan	nan	0.0	nan	nan	99.899999999999991	100.0	100.0	nan	nan
0.12	-0.017168266161817256	0.28886048851268897	1.8826194275010442e-30	9.6898841752452974e-33	55.334264280853859	nan	nan	0.0	nan	nan	99.899999999999991	100.0	100.0	nan	nan
0.14000000000000001	0.00184854909276288	0.27426455822231854	1.8826194275010442e-30	9.6898841752452974e-33	56.207201917088426	nan	nan	0.0	nan	nan	99.899999999999991	100.0	100.0	nan	nan
0.16	0.01550806677692328	0.26200716075260716	1.8826194275010442e-30	9.6898841752452974e-33	57.006970629239007	nan	nan	0.0	nan	nan	99.899999999999991	100.0	100.0	nan	nan
0.17999999999999999	0.033974625081499829	0.2512050028426977	1.8826194275010442e-30	9.6898841752452974e-33	57.739256769660884	nan	nan	0.0	nan	nan	99.899999999999991	100.0	100.0	nan	nan
0.20000000000000001	0.071697246861489289	0.25036275715421891	1.8826194275010442e-30	9.6898841752452974e-33	58.407590195164758	nan	nan	0.0	nan	nan	99.899999999999991	100.0	100.0	nan	nan
0.22	0.13174447565503156	0.25189959512643051	1.8826194275010442e-30	9.6898841752452974e-33	59.931141296015639	nan	nan	0.0	nan	nan	99.899999999999991	100.0	100.0	nan	nan
0.23999999999999999	0.22019691252214213	0.25367964942749294	1.8826194275010442e-30	9.6898841752452974e-33	61.407560178426444	nan	nan	0.0	nan	nan	99.899999999999991	100.0	100.0	nan	nan
0.26000000000000001	0.19881691788183581	0.25518693670337622	1.8826194275010442e-30	9.6898841752452974e-33	62.782742175893887	nan	nan	0.0	nan	nan	99.899999999999991	100.0	100.0	nan	nan
0.28000000000000003	0.17639913704658269	0.25631228414657131	1.8826194275010442e-30	9.6898841752452974e-33	64.059969339714172	nan	nan	0.0	nan	nan	99.899999999999991	100.0	100.0	nan	nan
0.29999999999999999	0.18946998118882677	0.25655932212778249	1.8826194275010442e-30	9.6898841752452974e-33	65.19306850121599	nan	nan	0.0	nan	nan	99.899999999999991	100.0	100.0	nan	nan
0.32000000000000001	0.26978745021938194	0.25630914151331036	1.8826194275010442e-30	9.6898841752452974e-33	66.14658327920111	nan	nan	0.0	nan	nan	99.899999999999991	100.0	100.0	0.073428367168439035	0.082467159535847351
