weight	lyapunov	err1	err2	err3	m1	m2	m3	std1	std2	std3	null1	null2	null3	f	stdf
1.6000000000000001	0.48118926604540002	0.94369618129871868	0.70327094244092136	0.3116795344738546	20.878618227396238	136.71290196642741	412.28451232117203	23.61637319926529	144.92593057098304	401.18987867854611	93.22999999999999	83.439999999999998	76.5	0.017643968847517465	0.046870152034383904
1.6200000000000001	0.66385121870519781	0.88946582597594337	0.65238946449039226	0.26014860967917341	20.383489953349347	135.49099164339322	412.02064892978603	23.033378451381715	137.28110680749251	394.93045101259941	92.939999999999998	82.769999999999996	76.370000000000005	0.017457313891676693	0.046572689241394155
1.6400000000000001	0.72581228796788899	0.83326461063438229	0.58778003344253416	0.25523704018318061	19.178858773760201	122.41239422551538	345.77136789383906	22.596335445097729	127.83195136817967	329.16292569089563	92.599999999999994	82.170000000000002	77.140000000000001	0.017265648223158615	0.045829994192818892
1.6600000000000001	0.60832568046257929	0.86679976892825439	0.50300592922846232	0.21296728570633242	18.738780821272396	112.09386700424491	287.30603036976294	19.911555128893024	116.64668594323408	270.0168654666914	91.439999999999998	80.469999999999999	75.560000000000002	0.017086728459300031	0.04566210324333405
1.6799999999999999	0.74736711969548353	0.83153227932413432	0.44531925912689319	0.18108166066115305	17.283831436548397	112.04437728471177	335.22496617138404	19.378331915667424	115.78427476943162	317.72917103496314	90.469999999999999	79.609999999999985	74.799999999999983	0.016904265446103312	0.044981504879440776
1.7	0.76887745217086989	0.75445983785223858	0.41494289675496498	0.16812706068376554	18.651610554618721	114.92071623063789	308.14230824045524	20.516794983632501	118.6079805040121	293.38602223949567	91.480000000000004	80.950000000000017	75.710000000000008	0.016722270743041438	0.044564533017905097
1.72	1.1582604377808259	0.76392464431888207	0.40384853351598843	0.16221535702385009	17.871333780847657	109.8248286669254	295.34427111850169	19.340399719399578	109.59876457335102	272.73911472435532	90.390000000000015	79.540000000000006	74.510000000000005	0.016548622932370589	0.044778526788493027
1.74	1.055700668543329	0.72959108369711345	0.38885864205215354	0.13775374500900836	16.342111922939935	107.2280457532368	268.57393808029053	18.400532095549845	104.43254176585431	245.85714023592064	89.930000000000007	78.52000000000001	73.799999999999983	0.016389831061208691	0.044516634296223587
1.76	1.07944005838931	0.78282661542865561	0.33980988364913922	0.12315097213512605	16.490747032773498	100.1850712414447	241.33170805717609	17.677120870350727	99.907466917917333	220.69008596492935	89.269999999999996	78.510000000000019	74.060000000000016	0.016235142920664237	0.043803300908302263
1.78	1.0290979700525336	0.76215625234624362	0.3508770374720106	0.11393853305564412	15.657007071886596	98.030275675773893	245.31950140090498	17.256436146041914	98.123922107680272	225.26450725258684	89.040000000000006	78.27000000000001	74.429999999999993	0.016080043366809352	0.043565299567942237
1.8	1.1016839629921158	0.66598889202587963	0.2643338786591044	0.082285087302422399	14.966149459302773	95.467204969570247	249.00824578818327	17.563826045758002	95.070675340478758	224.39230869714348	88.649999999999991	77.949999999999989	73.789999999999992	0.015921331492471155	0.043103506791544829
1.8200000000000001	1.1521009570308682	0.65403939315082993	0.28234284002431448	0.091898238023246495	14.866675957566935	99.505464977740729	264.75785612994622	16.634782715348159	95.786721172568789	244.45081900178729	87.549999999999997	76.22999999999999	72.450000000000003	0.015776203083584336	0.042667349279517056
1.8400000000000001	0.93590303770212968	0.67504409639676677	0.23667620256488586	0.076002406637545511	13.910117289324418	86.440122719035784	206.71475906600782	15.158945689580591	84.690623021576414	201.14817263196855	87.329999999999998	75.840000000000003	72.309999999999988	0.015634464284644121	0.042645445041326391
1.8600000000000001	1.339758696165531	0.69186417838969005	0.22359691289075564	0.066281262897410903	13.928574774874111	95.242553901032622	248.0369740043439	15.632398682296946	90.967352494598543	223.81358009764125	87.530000000000001	76.069999999999993	72.349999999999994	0.015474979927056529	0.042415274383882054
1.8800000000000001	1.1626071297032974	0.62930614547172925	0.20396878017870873	0.072166097355617298	13.333712222755224	85.817384547478966	202.73775236184423	14.130809573935455	78.801833728172468	185.69355708819654	86.570000000000007	75.149999999999977	71.580000000000013	0.01534018999548741	0.041455537736349177
1.9000000000000001	1.0541564753159116	0.5767374149345873	0.13212893790141339	0.030057217948119986	13.351313760830305	77.573851795893049	168.61737723659826	14.347570811001464	73.562587096106313	158.31931698530886	86.050000000000011	74.889999999999986	72.030000000000001	0.015205348440031307	0.041456291473906413
1.9199999999999999	1.0409463814253019	0.55666050186200722	0.13554433433171334	0.02498508995774713	13.340151878661072	79.762481272564628	180.61222614158123	13.755604263610227	75.034798883513076	169.96040264685945	85.450000000000003	74.200000000000017	71.049999999999997	0.015060887805425647	0.040566058942473462
1.9399999999999999	1.6700668251990469	0.58459258054819541	0.17030911384929692	0.049822970637871063	13.188687694616169	75.205241945258393	150.42807779975757	13.82716477433039	70.560519251741056	139.13987533422744	84.930000000000021	73.700000000000003	70.849999999999994	0.014937427655018657	0.040398024573657779
1.96	1.233448397219671	0.4863780997166029	0.14928417699378752	0.066155197915306135	12.603177024625484	77.959146324359722	161.6650836183554	13.410090489305469	73.724980101943203	155.45177709335337	84.230000000000004	73.290000000000006	69.919999999999987	0.014801251607426503	0.039579081082511784
1.98	1.563184867023351	0.51866227580578728	0.10387292760901431	0.014038946188157786	12.210945560767245	71.668425334388672	130.84135590336817	13.111189641376123	69.845668232099939	119.31092450451186	84.300000000000011	73.299999999999997	70.870000000000005	0.014670883080239672	0.038985498984554327
2.0	1.5186252440325272	0.45909234915799713	0.098383425389095197	0.027755163454276293	12.475470299804035	64.175608240821049	115.34915390631848	13.140221996188284	59.89817321454624	109.99338837749694	83.049999999999997	72.189999999999984	69.570000000000007	0.014551019815101974	0.038624226528700727
2.02	1.7663720140708077	0.42179103118793709	0.085402341141405935	0.0091409428886924573	12.047785398391241	64.535055813419291	121.35570958750074	12.720352074601674	61.02867694160436	115.29737841132942	82.670000000000016	72.349999999999994	69.370000000000005	0.014427147288850667	0.038194765088643792
2.04	1.7291151264370164	0.39426514806545465	0.078938953059913025	0.027263535585345056	12.426353424279293	63.590523834002035	107.7655462925399	12.469651282658873	56.524811562790816	95.877300955415194	81.940000000000012	72.219999999999999	68.919999999999987	0.014311317438773449	0.038420853651504036
